id,surface,status,requirement,desired_reference,evidence,legacy,react,tests
T489,other,partial,Phase 2 — a normal workday in the cockpit is not a fight with the chrome,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"The umbrella has specific regressions despite basic chat paint: prompt queue/growth, stale selection after agent removal, and transcript duplicate/same-stream edge cases. Shared event persistence is separate. A normal workday cannot be certified by its assignment to ticker.",web/index.html:1,ui/src/components/UserRequest.tsx:124; ui/src/conversation/display.ts:1; ui/src/App.tsx:98,
T493,doctrine,not_applicable,Cockpit on-screen evidence is checkVisibility + centre hit-test + Vision OCR — not a model caption,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: checkVisibility + hit-test + OCR evidence method. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement. This is a retained verification obligation, not a pixel or a runtime feature. Excluding it from behavior counts must not waive the corresponding React prefix/collapse/visible-transcript oracle before the legacy test/reference path is deleted.",,,
T494.1.2,impl,uncertain,"Transcript layout is a function of the transcript and width, not of scroll history",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React estimates and measures virtual rows with follow/pin recovery; source does not prove history-independent end geometry. No repeated long-history detour at fixed width with the target’s 16px bound was executed in this audit. Retained as an owner-observable obligation, not an implementation exception.",web/scripts/virtual_list.js:1,ui/src/components/AgentTranscript.tsx:85; ui/src/transcript/rowLayout.ts:57,
T499,other,not_applicable,Ready frontier leaves prefer recent targets over long-lived ones by default,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: ready-leaf recency preference — consume policy. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T517,other,not_applicable,Plan-usage force-migrate does not bounce the product owner onto a new provider,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: PO force-migrate veto — routing, not ticker paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T522,doctrine,not_applicable,TestSidebarJournalDedupesProviderEcho passes on a clean checkout of master,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: TestSidebarJournalDedupesProviderEcho hermetic — product is T281. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T23,transcript,changed,Chat panel visually differentiates user / assistant / worker (system) messages,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","The retired May three-bubble requirement is not the current legacy contract. T63 later deliberately folds worker notifications into activity strips; both current folds discard type=system, and React emits user/assistant/steps kinds. The differential system-role fixture produces no row in either fold. Main bubble distinctions have styles; visual distinction was not independently rendered in this sub-audit. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:666; web/index.html:6167; web/scripts/conversation_widget.js:779,ui/src/conversation/display.ts:262; ui/src/components/AgentTranscript.tsx:501,"fold.test.ts:86 checks kinds, not visual appearance or system metadata."
T30.2,transcript,code_supported,Long in-flight assistant replies keep follow-scroll pinned to the true bottom until the turn seals,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React follows the bottom using layout-effect pins, growth-aware detach policy and a canvas ResizeObserver. The code covers streamed row growth and deliberate leaving; no fresh real-browser continuous-stream measurement was performed here.",web/index.html:2550; web/index.html:3384,ui/src/components/AgentTranscript.tsx:112; ui/src/components/AgentTranscript.tsx:174,ui/src/transcript/followPin.test.ts executed in focused suite; pure geometry decisions only.
T52,transcript,partial,Rewind works on the Grok ACP overseer,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Legacy has rewind control emission and rewound handling. React uses a new mux send API and has no rewind command/control or rewound reducer branch. Shared server rewind code is not deleted, but that does not supply an owner path in React.",web/index.html:3188; web/index.html:8978,ui/src/mux/client.ts:136; ui/src/conversation/reduce.ts:206,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T55,fold,code_supported,"Oversized chat content auto-collapses to a bounded height with expand-on-demand, so load doesn't thrash","Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Both implementations measure full body height and apply size clipping with expand/collapse. React keeps timestamp outside the body and supports both user and assistant. Later T106 changes Show more text and preview specifics. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5454,ui/src/components/AgentTranscript.tsx:394; ui/src/conversation/clip.ts:16,ui/src/conversation/clip.test.ts executed; full browser dimensions not decided.
T57,fold,changed,"Oversized turns cost bounded browser work: preview-only render up front, full content parsed lazily on expand, no per-chunk re-parse","Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","T106 explicitly supersedes T57 preview-only DOM with full HTML mounted under a size clip, and current legacy does that too. Separately, legacy preserves incremental parser state on append while React restarts and parses the whole prefix each update. A fresh DOM probe preserves the existing strong node in legacy and replaces it in React. Separate fresh rematerialization probe calls React Mermaid render twice for identical source restored twice; legacy web/index.html:4689–4706 caches SVG by source on the message. This proves missing render reuse, not measured latency or geometry. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5454; web/index.html:7213; web/scripts/streaming_markdown.js:78; web/index.html:4689,ui/src/components/AgentTranscript.tsx:592; ui/src/conversation/streamingMarkdown.ts:66,transcript-probes/results.json: append preserves existing DOM nodes.; GATE parity-independent-challenge exit=0 GREEN id=781e8871; rematerializing identical Mermaid source calls the renderer twice. Mocked renderer decides dispatch/cache behavior only.
T58,transcript,not_applicable,"Daemon restart resumes the overseer's real session — no recap/rotation, invisible in chat and journal",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"This is principally the shared daemon/session-resume contract, not a duplicated UI capability. Both clients suppress known restart-inject prose; React keeps the classifier. The historical HOME MCP registration clause has subsequently been superseded by session-scoped fleet MCP doctrine.",internal/server/chat.go:456; web/index.html:3030,ui/src/conversation/display.ts:149,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T59,fold,partial,The chat renderer draws mermaid diagrams from fenced ```mermaid blocks instead of showing raw source,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","React has Mermaid-to-SVG painting, code fallback on errors and shared handling for remounted bodies. However StreamingMarkdownBody directly invokes Mermaid on every unsealed update, and the transcript MutationObserver also scans unsealed code blocks; legacy only invokes Mermaid after sealing. Separate fresh rematerialization probe calls React Mermaid render twice for identical source restored twice; legacy web/index.html:4689–4706 caches SVG by source on the message. This proves missing render reuse, not measured latency or geometry. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5043; web/index.html:4689,ui/src/components/AgentTranscript.tsx:292; ui/src/conversation/mermaidPaint.ts:68; ui/src/conversation/StreamingMarkdownBody.tsx:33,Existing markdown-family T59 is skipped and defers to J23; no credit for a skip.; GATE parity-independent-challenge exit=0 GREEN id=781e8871; rematerializing identical Mermaid source calls the renderer twice. Mocked renderer decides dispatch/cache behavior only.
T63,transcript,code_supported,Only genuine user turns render as chat bubbles; agent/system notifications fold into an informative activity strip,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React strips owner prefix, folds agent_note/tool inputs into a steps run and omits system/progress records. Consecutive tools get summaries, and a visible user/assistant boundary flushes the run. This mirrors the newer legacy contract, superseding T23 worker bubbles.",web/scripts/conversation_widget.js:714; web/index.html:3494,ui/src/conversation/display.ts:86; ui/src/conversation/display.ts:291; ui/src/components/AgentTranscript.tsx:486,fold.test.ts:30 executed; direct tool-segment fixture matches legacy.
T64,transcript,code_supported,"Activity-strip tool steps show a short argument summary, not just the tool name",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,The argument summarizer and tool item renderer are ported. This acceptance also requires the shared provider wire to retain rawInput; checking a synthetic input map cannot prove that dependency.,web/scripts/tool_summary.js:1; internal/server/chat_wire.go:1,ui/src/conversation/display.ts:183; ui/src/conversation/toolSummary.ts:1,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T66,fold,changed,Latest assistant response starts expanded (same rule as latest user request),"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Latest user/assistant row auto-expands and manually toggled state wins. Later T246/T261 deliberately preserve non-latest messages that remain visible, so the older immediate recollapse-on-new-assistant clause is no longer authoritative. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5626,ui/src/conversation/clip.ts:183; ui/src/components/AgentTranscript.tsx:393,clip.test.ts executed for policy controls.
T74,fold,missing,Fenced code blocks get automatic syntax highlighting for a large set of common languages,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Legacy loads highlight.js and invokes highlightElement on sealed code blocks. React runs marked and target linkification only; no highlighting import or callback exists. Fresh HTML output contains language-js but no highlighted spans. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:11; web/index.html:5044; web/index.html:5444,ui/src/conversation/markdown.ts:22; ui/src/components/AgentTranscript.tsx:592,False positive: oracle/families/markdown.test.ts:11 calls its case highlighted HTML but asserts only pre/code and original source text. Focused suite passes that weaker property.
T75,fold,missing,Owner request bubbles render quote notation correctly,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Legacy promotes owner > lines to blockquote while retaining literal non-quote text. React escapes the entire owner text (apart from image markers/target hotspots). Fresh owner quote fixture produces &gt; quoted, not a blockquote. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5176; web/index.html:5407,ui/src/conversation/paint.ts:43; ui/src/composer/images.ts:179,transcript-probes/results.json: owner quote.
T77,fold,changed,Oversized non-latest messages collapse for both user and assistant roles,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Both roles share size clipping. T246/T261 refine the old cease-to-be-latest rule: an auto-expanded row remains expanded while still visible, with manual choice preserved. React expresses these later policies. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5626,ui/src/conversation/clip.ts:109; ui/src/components/AgentTranscript.tsx:393,clip.test.ts executed.
T87,transcript,partial,"Jevons embodies owner impatience — snappy feedback, zero silent waits, bias to act",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React paints typed phase, step and correspondent information and optimistic received feedback. These support snappy feedback but do not establish cancel latency, documented escalation bounds or fleet result accountability.",web/index.html:2986; web/index.html:6568,ui/src/conversation/overseerPhase.ts:78; ui/src/components/AgentInteraction.tsx:1,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T89,transcript,partial,Long-running and multi-agent work reports live progress to the owner without babysitting,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React can paint phase, current tool and correspondents from the overseer sample. Legacy additionally computes a fleet progress rollup. No equivalent rollup is wired into the main React chat in these components.",web/index.html:6568,ui/src/components/OverseerPhaseStrip.tsx:1; ui/src/conversation/overseerPhase.ts:78,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T91,transcript,partial,Each transcript item shows an accurate timestamp on hover (tooltip),"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","React renders native title timestamps when the fold supplies numeric when/timestamp. Legacy also parses ISO timestamp strings. Fresh same-event differential: legacy retains 1785580200000; React drops it. Steps return before the timestamp markup, so activity timestamps are not displayed. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/scripts/conversation_widget.js:746; web/index.html:3641,ui/src/conversation/display.ts:214; ui/src/components/AgentTranscript.tsx:552,"fold.test.ts:150 checks formatter and source wiring, not event-shape-to-hover behavior."
T94,transcript,partial,Owner chat self-heals from stuck or empty overseer turns without manual session mint,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,Shared server health machinery remains and React understands stuck/error phase and overseer-down metadata. No fresh forced-empty/hung-turn→subsequent-reply recovery run was performed.,internal/server/owner_health.go:1; web/index.html:2986,ui/src/conversation/overseerPhase.ts:11; ui/src/conversation/degraded.ts:6,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T106,fold,code_supported,Collapsed tall bubbles are a border-flush pocket (dark scrim + edge tab); short messages have no tab,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","React has full mounted HTML, measured clip, pocket CSS, outside timestamp and size-gated tab. Exact old scrim styling has newer pocket refinements (T559), so comparison must name the intended revision. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:245; web/index.html:5454,ui/src/components/AgentTranscript.tsx:394; ui/src/cockpit.css:240,clip unit tests pass; visual proof not inferred.
T116,transcript,code_supported,"Activity-strip tool steps show human-useful argument values, not schema key dumps","Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","The port prioritizes human-useful fields and nested tool_input rather than bare key dumps, and ClippedBubble includes summary strings in step tooltips. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/scripts/tool_summary.js:1,ui/src/conversation/toolSummary.ts:1; ui/src/conversation/display.ts:183,fold.test.ts:41 executed for nested MCP values.
T119,transcript,changed,"Transcript is fully loaded in-browser, windowed for render stress, recent-first, whole-chunk only","Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","This retired target is internally stale as a current spec. T483 explicitly stops full background history loading, and T119.3 replaces permanent shells with an absolute canvas. React loads the tail, fetches older pages on owner demand and uses TanStack virtualization. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:7213; web/index.html:5811,ui/src/components/AgentTranscript.tsx:76; ui/src/conversation/useConversation.ts:84,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T119.1,transcript,code_supported,Reload and reconnect history replay does not scroll-parade to the live end,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React buffers initial frames until meta, then exposes ready and pins end-first, avoiding per-message first-replay paint. This is the right mechanism; reset-on-soft-reconnect still violates T143.",web/index.html:2522; web/index.html:3057,ui/src/conversation/useConversation.ts:48; ui/src/components/AgentTranscript.tsx:112,Existing transcript-geom oracle defers to J19; no credit from catalogue presence.
T119.6,transcript,code_supported,Live tool-step capsules do not stack or overlap — one open slot is one marker,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React derives capsule rows from displayRows and renders one keyed component per row, rather than independently minting a second host slot. Consecutive tool/control events share one run.",web/index.html:3489,ui/src/conversation/display.ts:260; ui/src/components/AgentTranscript.tsx:484,Fresh tool-segment tape has one steps row in both implementations.
T119.7,transcript,code_supported,Live-streamed bubbles do not overlap — prefix updates when a row grows,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"TanStack measureElement and row resize observation update measured row extents. This addresses the legacy stale prefix mechanism structurally, but layout and asynchronous Mermaid growth were not browser-stressed here.",web/index.html:1941; web/index.html:3384,ui/src/components/AgentTranscript.tsx:76; ui/src/transcript/rowLayout.ts:45,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T119.8,transcript,code_supported,Steps capsule is painted from fold rows — the host keeps no open-slot state,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,Steps are derived from folded rows with no separate host accumulator. Row chronology is preserved for ordinary tool/text sequences.,web/scripts/conversation_widget.js:701; web/index.html:3489,ui/src/conversation/display.ts:260; ui/src/components/AgentTranscript.tsx:334,Fresh before/tool/after tape matches legacy.
T122,transcript,code_supported,Activity-strip tool step tooltips do not needlessly wrap — readable single-line (or wide) chrome,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Ported tooltip DOM/CSS uses max-content with viewport cap and useful summaries. No real browser width/wrap measurement was performed in this sub-audit. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:773,ui/src/components/AgentTranscript.tsx:494; ui/src/cockpit.css:787,"fold.test.ts:159 executed; its jsdom markup is useful, its geometry claim is not decided."
T138,transcript,partial,"Typed degraded chat mode when overseer is down — banner, no thrash",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,React shows a stable banner from overseer_down meta and retains history while that socket remains open. Reconnection uses an unconditional 500ms retry with no degraded hold/backoff control.,web/index.html:2717; web/index.html:2974,ui/src/conversation/degraded.ts:6; ui/src/mux/client.ts:65,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T143,transcript,missing,Soft reconnect preserves transcript DOM — no wipe/replay thrash,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Every React reconnect dispatches reset for watched transcripts, immediately emptying conversation state, then reopens the latest-30 window. Legacy explicitly keeps the existing transcript DOM on same-session soft reconnect. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:2849,ui/src/mux/client.ts:44; ui/src/conversation/reduce.ts:210,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T145,fold,code_supported,Assistant messages that open with a fenced code block always render as a code block — never fused to a preceding blurb,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,React ports the same narrow newline-before-real-fence normalization and applies it on sealed and streaming input.,web/index.html:4720,ui/src/conversation/markdown.ts:9; ui/src/conversation/StreamingMarkdownBody.tsx:32,markdown.test.ts executed for normalization fixtures.
T146,fold,code_supported,Prose that mentions fence markers does not accidentally open code blocks,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,Both use the newline-after-fence condition before repairing a smushed opening fence; prose mentions without a following newline are not rewritten.,web/scripts/markdown_normalize.js:1,ui/src/conversation/markdown.ts:7,markdown.test.ts executed.
T147,fold,partial,Stream coalesce at ACP/assistant segment boundaries inserts newline before fence openers,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Raw stream fold inserts structural segment breaks for tool boundaries; fresh before/tool/after control matches legacy. Current mux append path bare-appends deltas, while multi-block mux events paint separate bubbles rather than one joined message. T161 supersedes the older content-sniffing fence heuristic.",web/scripts/chat_events.js:1; web/scripts/conversation_widget.js:732,ui/src/conversation/stream.ts:1; ui/src/conversation/reduce.ts:97,markdown-family test:18 is the wrong seam; differential current-mux multi-block fixture records split rows.
T150,fold,partial,Streaming assistant markdown renders complete emphasis and structure — not raw asterisks until reload,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Closed emphasis renders through smd, so the plain-source failure is fixed. However every write clears the DOM and replays the entire text, contrary to incremental behavior in legacy and T64.4. Terminal state selects marked, though raw terminal frames can fail to propagate seal metadata to prior accumulated frames. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/scripts/streaming_markdown.js:78; web/index.html:5000,ui/src/conversation/streamingMarkdown.ts:66; ui/src/conversation/StreamingMarkdownBody.tsx:32,Existing markdown-family T150 tests only sealed marked. Fresh DOM identity probe demonstrates non-incremental replacement.
T151,transcript,partial,Chat and UI links always open in a new browser tab,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Streaming anchors are decorated target=_blank/rel, but sealed Markdown anchors receive only tabindex=-1. There is no document-wide click safety fallback in React. Fresh sealed link HTML lacks both target and rel. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:4720; web/scripts/link_safety.js:1,ui/src/conversation/streamingMarkdown.ts:23; ui/src/conversation/markdown.ts:22; ui/src/components/AgentTranscript.tsx:594,transcript-probes/results.json: sealed external link.
T159,transcript,partial,One assistant bubble per terminal stop_reason — tool rounds never seal mid-reply,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Common one-stream tool continuation works. A multi-text-block current indexed mux frame becomes two bubbles, unlike one legacy combined message. A separate raw-reducer compatibility probe merges repeated terminal stream_id bodies into FirstSecond; current indexed mux bypasses that reducer, so this is not evidence of a current product terminal-merge defect (EXTRA-transcript-3). Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/scripts/conversation_widget.js:783,ui/src/conversation/stream.ts:145; ui/src/conversation/display.ts:320,fold.test.ts:92 bypasses reducer and supplies two already-complete different texts. It does not decide streaming/tool/terminal contract.
T161,transcript,partial,Assistant stream joins preserve paragraph breaks between segments,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Structural tool-edge join is preserved in the raw fold. Multi-text-block raw-frame probe duplicates the second paragraph, while current mux frame paints two rows instead of one body; current window append uses bare concatenation.",web/scripts/conversation_widget.js:732,ui/src/conversation/stream.ts:26; ui/src/conversation/display.ts:320,Fresh differential results include raw and current-mux multi-block shapes.
T166,fold,code_supported,Expanded tall bubbles clear last text line above collapse tab,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","Expanded-with-tab padding and collapsed zero-padding policies are present, preserving the intent of clearance versus flush pocket. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:275,ui/src/components/AgentTranscript.tsx:394; ui/src/cockpit.css:270,Unit/CSS values are not geometry evidence.
T210,transcript,partial,"After rewind + resubmit of a modified owner message, assistant bubbles render each token once — no doubled words/characters",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"The original server duplicate-subscription fix is shared, but React has no equivalent rewind/edit/resubmit owner command. Separate stream-fold probes show additional duplication cases, not the historical double-subscription mechanism.",internal/server/chat.go:318; web/index.html:8978,ui/src/mux/client.ts:136; ui/src/conversation/stream.ts:145,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T223,transcript,changed,Owner follow-up while overseer is streaming always enqueues — never interleaves a user turn mid-assistant bubble (T113 regression),Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"T504 supersedes only the chronological coalescing requirement: an owner message is now a visible barrier, so one response may occupy bodies on both sides. T223 still requires explicit, unambiguous stream identity on fragments and identity-based reconciliation; that requirement is not superseded. React retains stream IDs on the raw path and durable event IDs/indexes on the current mux path. This inspection and the raw owner-barrier tape do not establish the every-fragment server wire or hard-reload contract.",web/scripts/chat_events.js:1; web/scripts/conversation_widget.js:750,ui/src/conversation/stream.ts:138; ui/src/conversation/reduce.ts:129,Fresh owner-barrier tape matches legacy T504; it decides chronology on the raw path only.
T224,transcript,code_supported,Overseer chat paste images and full turn bodies survive hard-reload and cross-browser session attach via server persistence with thumbnail delivery,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","React uploads immediately, embeds durable image IDs and renders server /thumb URLs on reload. This preserves the frontend half. The endpoint and image persistence are shared. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior.",web/index.html:5176,ui/src/composer/images.ts:63; ui/src/composer/images.ts:179,Code inspection only for this row; no row-specific fresh live/render assertion is claimed.
T233,transcript,code_supported,Harness system-reminders and similar injects render as compacted activity nuggets with hover detail — not full user-shaped bubbles,"Legacy MAIN transcript behavior, applied through one shared React transcript widget with almost identical main/sidebar behavior. The old sidebar/inspect widget is explicitly excluded as a parity reference.","System reminders, standing briefs, events and restart injects classify into compact steps-family nuggets with detail. React now uses the same component for main and inspect. Any legacy-sidebar code cited here is historical provenance only, not an acceptance oracle; the main transcript and current owner clarification govern sidebar behavior. The shared React nugget implementation already exists; this review does not require reviving a separate legacy-inspect renderer or its special polling/lifecycle.",web/scripts/agent_transcript.js:1,ui/src/conversation/display.ts:297; ui/src/conversation/inject.ts:1; ui/src/components/AgentTranscript.tsx:490,fold.test.ts:195 executed for both classifier and rendered nugget markup.
T238,transcript,code_supported,Overseer [silent] replies never appear in owner chat UI or chatlog bubbles,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,React suppresses complete [silent]-prefixed assistant text and shared server has silent suppression. Fresh silent-then-visible test is clean for complete identified turns.,internal/server/chat_wire.go:1; web/scripts/conversation_widget.js:796,ui/src/conversation/display.ts:126; ui/src/conversation/display.ts:326,fold.test.ts:101 executes complete-prefix fixture only.
